iter	RMSE
0	1.647418296
1	1.60218193
2	1.560209983
3	1.521314169
4	1.48528028
5	1.451968639
6	1.421091512
7	1.392525075
8	1.366303926
9	1.342029315
10	1.319645801
11	1.299289264
12	1.280587652
13	1.263247952
14	1.247388648
15	1.232791576
16	1.219524585
17	1.207462108
18	1.19637761
19	1.18624879
20	1.176974772
21	1.168528182
22	1.160891112
23	1.153867369
24	1.147507466
25	1.141704388
26	1.136407187
27	1.131568367
28	1.127224124
29	1.123277378
30	1.11967312
31	1.116404037
32	1.11340993
33	1.110703968
34	1.108236593
35	1.105989876
36	1.103954327
37	1.102090301
38	1.100437607
39	1.098918153
40	1.097546111
41	1.096287427
42	1.095160413
43	1.094130894
44	1.093166242
45	1.092348291
46	1.091576729
47	1.090864187
48	1.090217715
49	1.08966393
50	1.089130963
51	1.088664134
52	1.088229376
53	1.087841795
54	1.087493761
55	1.087158167
56	1.086843321
57	1.086565632
58	1.086308728
59	1.086100305
60	1.0858867
61	1.085728775
62	1.085554613
63	1.085401391
64	1.085258385
65	1.085141559
66	1.085030939
67	1.08491936
68	1.084824839
69	1.084731904
70	1.084650497
71	1.084562651
72	1.084501946
73	1.084435979
74	1.084373
75	1.084325656
76	1.08428818
77	1.084247419
78	1.084205727
79	1.084164577
80	1.084133099
81	1.084097331
82	1.084080038
83	1.084050243
84	1.084020362
85	1.084002919
86	1.083982095
87	1.083964153
88	1.08393886
89	1.083916526
90	1.083894162
91	1.083877048
92	1.083864437
93	1.083848614
94	1.083832587
95	1.083818795
96	1.08380628
97	1.083797714
98	1.083785466
99	1.083775339
100	1.083764666
101	1.083755942
102	1.083749749
103	1.083740835
104	1.083735448
105	1.083730506
106	1.083725094
107	1.08372275
108	1.083712306
109	1.083705535
110	1.08370306
111	1.083700956
112	1.083697597
113	1.083691217
114	1.083685046
115	1.083679771
116	1.0836777
117	1.083673771
118	1.083668567
119	1.083667172
120	1.083665632
121	1.083663887
122	1.083657858
123	1.083652896
124	1.083646081
125	1.083640682
126	1.083635279
127	1.083632746
128	1.083630143
129	1.083625763
130	1.083622562
131	1.083621432
132	1.083619528
133	1.08361798
134	1.083615044
135	1.083611985
136	1.083611431
137	1.083610457
138	1.083603563
139	1.083601246
140	1.083598169
141	1.083596738
142	1.083595294
143	1.083594917
144	1.083592795
145	1.083591283
146	1.08359125
147	1.083583402
148	1.083581708
149	1.083580359
150	1.083579335
151	1.083575332
152	1.083574272
153	1.083569988
154	1.083566354
155	1.083562313
156	1.083560698
157	1.08355939
158	1.083554158
159	1.083553633
160	1.083552194
161	1.083551524
162	1.083550946
163	1.083550012
164	1.083548928
165	1.083545855
166	1.083544687
167	1.083541712
168	1.083541581
169	1.083540339
170	1.083539361
171	1.083539346
172	1.083538197
173	1.083536238
174	1.083535977
175	1.083535498
176	1.083534901
177	1.08353433
178	1.083533854
179	1.083532239
180	1.083531433
181	1.083528681
182	1.083528027
183	1.083524469
184	1.083523682
185	1.083522981
186	1.083521777
187	1.083518439
188	1.083518422
189	1.083517903
190	1.083517126
191	1.083515352
192	1.08351334
193	1.083513333
194	1.083510892
195	1.083507089
196	1.083506608
197	1.083505279
198	1.083504576
199	1.083504375
200	1.083504061
201	1.083502273
202	1.083498887
203	1.083498872
204	1.083498149
205	1.083497722
206	1.083497497
207	1.083495925
208	1.083493651
209	1.08349233
210	1.083488451
211	1.083486715
212	1.083486668
213	1.083485044
214	1.083484535
215	1.083481347
216	1.083479961
217	1.083479644
218	1.083478751
219	1.083477258
220	1.083475007
221	1.083469101
222	1.083468883
223	1.083467445
224	1.083465884
225	1.083464413
226	1.083462647
227	1.08345908
228	1.083458948
229	1.08345748
230	1.083454719
231	1.083453229
232	1.083453203
233	1.0834532
234	1.08344993
235	1.083447314
236	1.083444344
237	1.083440606
238	1.083440372
239	1.083440116
240	1.083439744
241	1.083439161
242	1.083438952
243	1.083436005
244	1.08343561
245	1.083433447
246	1.083431665
247	1.083431287
248	1.083426356
249	1.083425588
250	1.083424322
251	1.083422291
252	1.083420769
253	1.083416072
254	1.083416018
255	1.083415492
256	1.083411286
257	1.083406993
258	1.083406804
259	1.083402569
260	1.083402431
261	1.083400482
262	1.083399144
263	1.083394232
264	1.083389642
265	1.083385452
266	1.083383427
267	1.083383162
268	1.083375298
269	1.08337418
270	1.083368062
271	1.083367798
272	1.083367798
273	1.083364272
274	1.083363005
275	1.083362546
276	1.083360033
