iter	Passed	Remaining
0	366	182821
1	605	150781
2	850	140973
3	1086	134775
4	1361	134805
5	1610	132589
6	1864	131342
7	2118	130284
8	2363	128946
9	2605	127656
10	2864	127333
11	3091	125720
12	3353	125627
13	3606	125194
14	3858	124760
15	4101	124083
16	4339	123296
17	4601	123221
18	4847	122729
19	5066	121593
20	5295	120776
21	5520	119939
22	5777	119830
23	6021	119428
24	6266	119070
25	6526	118989
26	6761	118459
27	7006	118104
28	7245	117674
29	7471	117053
30	7754	117317
31	8030	117445
32	8305	117533
33	8551	117210
34	8798	116899
35	9093	117202
36	9332	116780
37	9620	116967
38	9862	116581
39	10116	116340
40	10352	115899
41	10612	115731
42	10855	115371
43	11097	115012
44	11375	115021
45	11615	114636
46	11878	114488
47	12101	113958
48	12340	113583
49	12604	113440
50	12880	113394
51	13052	112452
52	13270	111924
53	13511	111592
54	13769	111405
55	14025	111199
56	14262	110850
57	14489	110418
58	14784	110508
59	14937	109543
60	15215	109502
61	15325	108267
62	15597	108191
63	15846	107956
64	16032	107293
65	16200	106527
66	16341	105612
67	16606	105498
68	16818	105055
69	17052	104750
70	17281	104416
71	17525	104182
72	17686	103454
73	17905	103076
74	18149	102846
75	18294	102062
76	18382	100982
77	18544	100332
78	18758	99967
79	18987	99685
80	19133	98975
81	19386	98821
82	19447	97704
83	19673	97430
84	19888	97103
85	19970	96138
86	20110	95467
87	20225	94691
88	20465	94507
89	20737	94469
90	21006	94415
91	21243	94210
92	21370	93526
93	21580	93208
94	21795	92918
95	22000	92583
96	22172	92117
97	22291	91438
98	22495	91118
99	22656	90627
100	22870	90349
101	23063	89992
102	23183	89357
103	23380	89026
104	23533	88529
105	23677	88007
106	23818	87482
107	23879	86674
108	24112	86496
109	24243	85955
110	24333	85276
111	24419	84595
112	24536	84030
113	24729	83732
114	24956	83550
115	25152	83265
116	25260	82690
117	25434	82338
118	25627	82052
119	25731	81481
120	25797	80804
121	25857	80114
122	26018	79748
123	26269	79656
124	26528	79586
125	26759	79429
126	26969	79208
127	27182	79000
128	27353	78667
129	27540	78383
130	27750	78168
131	27882	77734
132	27992	77241
133	28144	76872
134	28321	76573
135	28492	76259
136	28547	75641
137	28629	75100
138	28846	74918
139	29062	74731
140	29244	74458
141	29381	74075
142	29553	73779
143	29627	73246
144	29781	72913
145	29980	72692
146	30030	72114
147	30250	71947
148	30379	71564
149	30465	71087
150	30562	70637
151	30743	70387
152	30866	70004
153	31127	69936
154	31336	69748
155	31513	69491
156	31760	69388
157	31866	68977
158	32125	68898
159	32232	68494
160	32454	68336
161	32586	67989
162	32636	67476
163	32794	67188
164	32924	66846
165	33110	66620
166	33261	66323
167	33434	66072
168	33517	65647
169	33688	65395
170	33824	65077
171	33859	64569
172	33990	64248
173	34146	63974
174	34259	63625
175	34340	63218
176	34420	62813
177	34541	62484
178	34609	62064
179	34805	61876
180	35014	61710
181	35185	61478
182	35384	61294
183	35576	61098
184	35679	60751
185	35748	60348
186	35869	60038
187	36068	59857
188	36114	59425
189	36283	59198
190	36400	58888
191	36615	58738
192	36748	58455
193	36786	58024
194	36924	57754
195	37127	57586
196	37267	57319
197	37356	56978
198	37456	56655
199	37550	56326
200	37644	55999
201	37761	55707
202	37972	55556
203	38019	55166
204	38151	54901
205	38323	54694
206	38392	54343
207	38505	54055
208	38682	53859
209	38849	53649
210	39092	53543
211	39241	53308
212	39294	52946
213	39412	52673
214	39468	52318
215	39607	52076
216	39862	51987
217	39920	51640
218	40000	51325
219	40196	51159
220	40408	51013
221	40610	50854
222	40674	50524
223	40867	50355
224	41078	50207
225	41229	49986
226	41375	49760
227	41573	49596
228	41644	49282
229	41768	49032
230	41890	48781
231	41997	48513
232	42053	48190
233	42097	47854
234	42221	47612
235	42411	47443
236	42634	47311
237	42887	47212
238	43051	47014
239	43123	46717
240	43254	46484
241	43435	46307
242	43522	46029
243	43685	45833
244	43753	45539
245	43912	45340
246	44096	45167
247	44160	44873
248	44350	44706
249	44500	44500
250	44647	44291
251	44825	44114
252	45030	43962
253	45217	43792
254	45268	43493
255	45379	43252
256	45570	43087
257	45833	42991
258	45891	42702
259	46091	42546
260	46209	42314
261	46380	42132
262	46488	41892
263	46711	41757
264	46882	41574
265	47164	41490
266	47305	41281
267	47371	41008
268	47546	40830
269	47714	40645
270	47927	40499
271	48049	40277
272	48104	39998
273	48311	39848
274	48489	39673
275	48627	39465
276	48768	39261
