Crop,Precision,Recall,F1-Score,Support
apple,1.0,1.0,1.0,15
banana,1.0,1.0,1.0,15
chickpea,1.0,1.0,1.0,15
coconut,1.0,1.0,1.0,15
coffee,1.0,1.0,1.0,15
cotton,1.0,1.0,1.0,15
pigeonpeas,1.0,1.0,1.0,15
grapes,1.0,1.0,1.0,15
kidneybeans,1.0,1.0,1.0,15
lentil,1.0,1.0,1.0,15
mothbeans,1.0,1.0,1.0,15
mango,1.0,1.0,1.0,15
muskmelon,1.0,1.0,1.0,15
mungbean,1.0,1.0,1.0,15
watermelon,1.0,1.0,1.0,15
pomegranate,1.0,1.0,1.0,15
orange,1.0,1.0,1.0,15
papaya,1.0,1.0,1.0,15
maize,0.9375,1.0,0.967741935483871,15
jute,0.9375,1.0,0.967741935483871,15
blackgram,1.0,0.9333333333333333,0.9655172413793104,15
rice,1.0,0.9333333333333333,0.9655172413793104,15
